Designator,Mid X,Mid Y,Rotation,Layer
R11,134.665535,-109.185534,270.0,top
R12,132.765535,-109.185534,270.0,top
R13,142.05,-117.025,90.0,top
R14,137.85,-124.975534,90.0,top
R15,133.35,-121.1,90.0,top
R16,131.240535,-119.460534,90.0,top
R17,145.385,-115.35,0.0,top
R18,133.545,-184.35,0.0,top
R19,132.025,-188.55,180.0,top
R2,143.25,-111.5,0.0,top
R20,129.925,-187.35,180.0,top
R21,148.65,-184.975,0.0,top
R22,147.009999,-188.685534,180.0,top
R23,145.0,-187.7,180.0,top
R24,148.375,-168.21,0.0,top
R25,146.755001,-172.490001,180.0,top
R26,144.605,-171.34,180.0,top
R27,135.875,-167.7,270.0,top
R28,138.475,-185.7,270.0,top
R29,106.325,-141.325,180.0,top
R3,143.25,-109.6,0.0,top
R30,68.65,-59.685,90.0,top
R31,68.1,-58.15,0.0,top
R32,143.2,-169.0,180.0,bottom
R33,83.89125,-205.1,0.0,bottom
R34,138.625,-169.0,0.0,bottom
R35,132.2,-201.5,90.0,bottom
R36,119.55,-66.1,270.0,bottom
R37,88.475,-55.5875,90.0,bottom
R38,128.8,-168.95,180.0,bottom
R39,81.65,-169.05,0.0,bottom
R4,143.25,-107.7,0.0,top
R40,70.6125,-169.05,0.0,bottom
R41,60.875,-169.025,0.0,bottom
R42,102.95,-152.0,270.0,top
R43,106.65,-148.44,270.0,top
R44,79.75,-77.25,0.0,top
R45,70.85,-63.26,90.0,top
R46,71.825,-63.25,90.0,top
R47,77.675,-54.6,180.0,top
R48,145.385,-113.25,180.0,top
R49,145.55,-121.9,90.0,top
R5,143.25,-105.8,0.0,top
R50,142.94,-123.09,180.0,top
R51,74.625,-132.35,90.0,top
R52,73.15,-132.35,270.0,top
R53,134.025,-115.11,270.0,top
R54,106.3,-142.935,270.0,top
R55,170.275,-152.85,90.0,top
R56,95.135,-93.37,90.0,top
R57,94.135,-93.37,90.0,top
R58,93.01,-93.37,90.0,top
R59,89.635,-100.645,180.0,top
R6,71.435535,-125.735534,90.0,top
R60,89.01,-91.77,0.0,top
R61,91.035,-91.57,90.0,top
R62,172.075,-157.125,180.0,top
R63,132.2,-172.14,90.0,top
R64,121.5,-163.625,270.0,top
R65,122.975,-163.625,270.0,top
R66,130.775,-173.6,0.0,top
R67,122.8,-153.075,90.0,top
R68,130.8,-167.9,180.0,top
R69,130.8,-168.85,0.0,top
R7,75.19,-76.55,180.0,top
R70,130.795,-169.8,180.0,top
R71,130.795,-170.75,0.0,top
R72,127.65,-175.525,90.0,top
R75,125.975,-177.45,270.0,top
R76,125.025,-177.45,270.0,top
R8,115.675,-222.6,0.0,top
R9,95.05,-225.925,0.0,top
SW1,37.735535,-203.085534,90.0,top
SW2,170.935535,-145.135534,90.0,top
